IATAcodeAirport,airport,city,state
ABE,Lehigh Valley International Airport,Allentown,PA
ABI,Abilene Regional Airport,Abilene,TX
ABQ,Albuquerque International Sunport,Albuquerque,NM
ABR,Aberdeen Regional Airport,Aberdeen,SD
ABY,Southwest Georgia Regional Airport,Albany,GA
ACK,Nantucket Memorial Airport,Nantucket,MA
ACT,Waco Regional Airport,Waco,TX
ACV,Arcata Airport,Arcata/Eureka,CA
ACY,Atlantic City International Airport,Atlantic City,NJ
ADK,Adak Airport,Adak,AK
ADQ,Kodiak Airport,Kodiak,AK
AEX,Alexandria International Airport,Alexandria,LA
AGS,Augusta Regional Airport (Bush Field),Augusta,GA
AKN,King Salmon Airport,King Salmon,AK
ALB,Albany International Airport,Albany,NY
ALO,Waterloo Regional Airport,Waterloo,IA
AMA,Rick Husband Amarillo International Airport,Amarillo,TX
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK
APN,Alpena County Regional Airport,Alpena,MI
ASE,Aspen-Pitkin County Airport,Aspen,CO
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
ATW,Appleton International Airport,Appleton,WI
AUS,Austin-Bergstrom International Airport,Austin,TX
AVL,Asheville Regional Airport,Asheville,NC
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI
BDL,Bradley International Airport,Windsor Locks,CT
BET,Bethel Airport,Bethel,AK
BFL,Meadows Field,Bakersfield,CA
BGM,Greater Binghamton Airport,Binghamton,NY
BGR,Bangor International Airport,Bangor,ME
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL
BIL,Billings Logan International Airport,Billings,MT
BIS,Bismarck Municipal Airport,Bismarck,ND
BJI,Bemidji Regional Airport,Bemidji,MN
BLI,Bellingham International Airport,Bellingham,WA
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL
BNA,Nashville International Airport,Nashville,TN
BOI,Boise Airport (Boise Air Terminal),Boise,ID
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX
BQK,Brunswick Golden Isles Airport,Brunswick,GA
BQN,Rafael Hernandez Airport,Aguadilla,PR
BRD,Brainerd Lakes Regional Airport,Brainerd,MN
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK
BTM,Bert Mooney Airport,Butte,MT
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA
BTV,Burlington International Airport,Burlington,VT
BUF,Buffalo Niagara International Airport,Buffalo,NY
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA
BWI,Baltimore-Washington International Airport,Baltimore,MD
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT
CAE,Columbia Metropolitan Airport,Columbia,SC
